breed,grooming,shedding,energy,trainability,demeanor,size
Akita,0.8,0.6,0.8,1,0.6,0.608187135
Australian Cattle Dog,0.2,0.8,1,0.2,0.4,0.183918129
Australian Shepherd,0.4,0.6,0.8,1,0.6,0.251754386
Beagle,0.6,0.6,0.8,0.6,0.8,0.070409357
Bernese Mountain Dog,0.6,1,0.8,0.8,0.4,0.546345029
Border Collie,0.6,0.6,1,1,0.4,0.198830409
Boxer,0.4,0.4,0.8,0.8,1,0.258333333
Bulldog,0.6,0.8,0.6,0.6,0.8,0.152631579
Bullmastiff,0.2,0.6,0.8,0.6,0.6,0.685964912
Chihuahua,0.2,0.4,0.6,0.4,0.6,0.009122807
Cocker Spaniel,0.8,0.4,0.6,1,1,0.084795322
Collie,0.6,0.6,0.6,0.8,0.8,0.350877193
Dachshund,0.4,0.4,0.6,0.6,0.6,0.035204678
Dalmatian,0.4,1,0.8,0.6,0.6,0.289181287
Doberman Pinscher,0.2,0.8,1,1,0.6,0.486549708
French Bulldog,0.2,0.8,0.4,0.6,0.6,0.078596491
German Shepherd Dog,0.4,0.8,0.6,1,0.6,0.392982456
Golden Retriever,0.4,0.6,1,1,0.8,0.345906433
Great Dane,0.2,0.6,0.8,0.6,0.6,1
Havanese,0.6,0.4,0.6,0.8,1,0.023391813
Labrador Retriever,0.4,0.8,1,1,1,0.363157895
Miniature Schnauzer,1,0.2,0.6,1,0.6,0.047134503
Pomeranian,0.6,0.6,0.6,0.6,0.6,0.007602339
Poodle (Standard),1,0.2,0.6,1,0.8,0.192982456
Poodle (Toy),1,0.2,0.6,1,0.8,0.011695906
Pug,0.4,0.8,0.6,0.6,0.8,0.043040936
Rottweiler,0.4,0.6,0.6,0.6,0.4,0.616081871
Saint Bernard,0.4,0.6,0.6,0.6,0.8,0.98245614
Shetland Sheepdog,0.6,0.6,0.6,1,0.4,0.067836257
Shiba Inu,0.4,0.6,0.6,0.4,0.4,0.070175439
Shih Tzu,0.8,0.2,0.6,0.6,0.8,0.028508772
Siberian Husky,0.4,0.6,0.8,0.4,0.8,0.241666667
Yorkshire Terrier,1,0.2,0.6,0.2,0.8,0.012280702
